,Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,True_Diesel,True_Petrol,True_Individual,True_Manual,True_1,True_3
181,1,2016,0.3,0.48,50000,0,1,1,1,0,0
182,2,2013,0.3,0.58,30000,0,1,1,1,0,0
183,1,2013,0.27,0.47,21000,0,1,1,1,0,0
184,4,2008,0.25,0.75,26000,0,1,1,1,1,0
185,1,2008,0.25,0.58,1900,0,1,1,0,0,0
186,1,2010,0.25,0.52,22000,0,1,1,0,0,0
187,2,2013,0.25,0.51,32000,0,1,1,1,0,0
188,1,2013,0.25,0.57,18000,0,1,1,1,0,0
189,1,2005,0.2,0.57,55000,0,1,1,1,0,0
190,4,2008,0.2,0.75,60000,0,1,1,1,0,0
191,2,2012,0.2,0.57,25000,0,1,1,1,1,0
192,1,2007,0.2,0.75,49000,0,1,1,1,1,0
193,1,2013,0.2,0.65,24000,0,1,1,1,1,0
194,1,2008,0.2,0.787,50000,0,1,1,1,0,0
195,1,2015,0.18,0.32,35000,0,1,1,1,0,0
196,2,2008,0.17,0.52,500000,0,1,1,0,0,0
197,2,2010,0.16,0.51,33000,0,1,1,1,0,0
198,2,2011,0.15,0.57,35000,0,1,1,1,1,0
199,2,2007,0.12,0.58,53000,0,1,1,1,0,0
200,4,2006,0.1,0.75,92233,0,1,1,1,0,0
201,9,2010,3.25,6.79,58000,1,0,0,1,1,0
202,8,2015,4.4,5.7,28200,0,1,0,1,0,0
203,5,2011,2.95,4.6,53460,0,1,0,1,0,0
204,6,2015,2.75,4.43,28282,0,1,0,1,0,0
205,8,2016,5.25,5.7,3493,0,1,0,1,1,0
206,3,2017,5.75,7.13,12479,0,1,0,1,0,0
207,8,2015,5.15,5.7,34797,0,1,0,0,0,0
208,9,2017,7.9,8.1,3435,0,1,0,1,0,0
209,8,2015,4.85,5.7,21125,1,0,0,1,0,0
210,5,2012,3.1,4.6,35775,0,1,0,1,0,0
211,2,2015,11.75,14.79,43535,1,0,0,1,0,0
212,3,2016,11.25,13.6,22671,0,1,0,1,0,0
213,9,2011,2.9,6.79,31604,0,1,0,1,0,0
214,8,2017,5.25,5.7,20114,0,1,0,1,0,0
215,14,2012,4.5,9.4,36100,0,1,0,1,0,0
216,6,2016,2.9,4.43,12500,0,1,0,1,0,0
217,6,2016,3.15,4.43,15000,0,1,0,1,0,0
218,14,2014,6.45,9.4,45078,0,1,0,1,0,0
219,14,2012,4.5,9.4,36000,0,1,0,1,0,0
220,6,2017,3.5,4.43,38488,0,1,0,1,0,0
221,9,2013,4.5,6.79,32000,0,1,0,0,0,0
222,9,2014,6.0,7.6,77632,1,0,0,1,0,0
223,14,2015,8.25,9.4,61381,1,0,0,1,0,0
224,14,2013,5.11,9.4,36198,0,1,0,0,0,0
225,5,2011,2.7,4.6,22517,0,1,0,1,0,0
226,8,2015,5.25,5.7,24678,0,1,0,1,0,0
227,5,2011,2.55,4.43,57000,0,1,0,1,0,0
228,14,2012,4.95,9.4,60000,1,0,0,1,0,0
229,9,2012,3.1,6.79,52132,1,0,0,1,0,0
230,14,2013,6.15,9.4,45000,1,0,0,1,0,0
231,14,2017,9.25,9.4,15001,0,1,0,1,0,0
232,2,2015,11.45,14.79,12900,0,1,0,0,0,0
233,8,2013,3.9,5.7,53000,1,0,0,1,0,0
234,8,2015,5.5,5.7,4492,0,1,0,1,0,0
235,14,2017,9.1,9.4,15141,0,1,0,1,0,0
236,6,2016,3.1,4.43,11849,0,1,0,1,0,0
237,3,2015,11.25,13.6,68000,1,0,0,1,0,0
238,14,2013,4.8,9.4,60241,0,1,0,1,0,0
239,6,2012,2.0,4.43,23709,0,1,0,1,0,0
240,14,2012,5.35,9.4,32322,1,0,0,1,0,0
241,3,2015,4.75,7.13,35866,0,1,0,1,1,0
242,3,2014,4.4,7.13,34000,0,1,0,1,0,0
243,9,2016,6.25,7.6,7000,0,1,0,1,0,0
244,14,2013,5.95,9.4,49000,1,0,0,1,0,0
245,14,2012,5.2,9.4,71000,1,0,0,1,0,0
246,9,2012,3.75,6.79,35000,0,1,0,1,0,0
247,14,2015,5.95,9.4,36000,0,1,0,1,0,0
248,5,2013,4.0,4.6,30000,0,1,0,1,0,0
249,9,2016,5.25,7.6,17000,0,1,0,1,0,0
250,3,2016,12.9,13.6,35934,1,0,0,1,0,0
251,26,2013,5.0,9.9,56701,0,1,0,1,0,0
252,10,2015,5.4,6.82,31427,0,1,0,0,0,0
253,26,2014,7.2,9.9,48000,1,0,0,1,0,0
254,26,2013,5.25,9.9,54242,0,1,0,1,0,0
255,10,2012,3.0,5.35,53675,0,1,0,1,0,0
256,26,2016,10.25,13.6,49562,0,1,0,1,0,0
257,26,2015,8.5,13.6,40324,0,1,0,1,0,0
258,26,2015,8.4,13.6,25000,0,1,0,1,0,0
259,7,2014,3.9,7.0,36054,0,1,0,1,0,0
260,26,2016,9.15,13.6,29223,0,1,0,1,0,0
261,10,2016,5.5,5.97,5600,0,1,0,1,0,0
262,7,2015,4.0,5.8,40023,0,1,0,1,0,0
263,7,2016,6.6,7.7,16002,0,1,0,1,0,0
264,7,2015,4.0,7.0,40026,0,1,0,1,0,0
265,7,2017,6.5,8.7,21200,0,1,0,1,0,0
266,7,2014,3.65,7.0,35000,0,1,0,1,0,0
267,26,2016,8.35,9.4,19434,1,0,0,1,0,0
268,10,2017,4.8,5.8,19000,0,1,0,1,0,0
269,26,2015,6.7,10.0,18828,0,1,0,1,0,0
270,26,2011,4.1,10.0,69341,0,1,0,1,0,0
271,26,2009,3.0,10.0,69562,0,1,0,1,0,0
272,26,2015,7.5,10.0,27600,0,1,0,1,0,0
273,7,2010,2.25,7.5,61203,0,1,0,1,0,0
274,10,2014,5.3,6.8,16500,0,1,0,1,0,0
275,26,2016,10.9,13.6,30753,0,1,0,0,0,0
276,26,2015,8.65,13.6,24800,0,1,0,1,0,0
277,26,2015,9.7,13.6,21780,0,1,0,1,0,0
278,7,2016,6.0,8.4,4000,0,1,0,1,0,0
279,26,2014,6.25,13.6,40126,0,1,0,1,0,0
280,10,2015,5.25,5.9,14465,0,1,0,1,0,0
281,26,2006,2.1,7.6,50456,0,1,0,1,0,0
282,26,2014,8.25,14.0,63000,1,0,0,1,0,0
283,26,2016,8.99,11.8,9010,0,1,0,1,0,0
284,10,2013,3.5,5.9,9800,0,1,0,1,0,0
285,7,2016,7.4,8.5,15059,0,1,0,0,0,0
286,7,2016,5.65,7.9,28569,0,1,0,1,0,0
287,7,2015,5.75,7.5,44000,0,1,0,0,0,0
288,26,2015,8.4,13.6,34000,0,1,0,1,0,0
289,26,2016,10.11,13.6,10980,0,1,0,1,0,0
290,7,2014,4.5,6.4,19000,0,1,0,1,0,0
291,10,2015,5.4,6.1,31427,0,1,0,1,0,0
292,7,2016,6.4,8.4,12000,0,1,0,1,0,0
293,26,2010,3.25,9.9,38000,0,1,0,1,0,0
294,7,2014,3.75,6.8,33019,0,1,0,1,0,0
295,26,2015,8.55,13.09,60076,1,0,0,1,0,0
296,26,2016,9.5,11.6,33988,1,0,0,1,0,0
297,10,2015,4.0,5.9,60000,0,1,0,1,0,0
298,26,2009,3.35,11.0,87934,0,1,0,1,0,0
299,26,2017,11.5,12.5,9000,1,0,0,1,0,0
300,10,2016,5.3,5.9,5464,0,1,0,1,0,0
